flights;month
787;2001/01/01
779;2001/02/01
933;2001/03/01
901;2001/04/01
999;2001/05/01
1109;2001/06/01
1068;2001/07/01
1048;2001/08/01
1014;2001/09/01
907;2001/10/01
785;2001/11/01
697;2001/12/01
732;2002/01/01
744;2002/02/01
887;2002/03/01
906;2002/04/01
974;2002/05/01
1116;2002/06/01
1038;2002/07/01
1009;2002/08/01
1034;2002/09/01
979;2002/10/01
811;2002/11/01
731;2002/12/01
717;2003/01/01
723;2003/02/01
844;2003/03/01
830;2003/04/01
933;2003/05/01
1076;2003/06/01
1001;2003/07/01
997;2003/08/01
1009;2003/09/01
975;2003/10/01
808;2003/11/01
734;2003/12/01
728;2004/01/01
786;2004/02/01
925;2004/03/01
915;2004/04/01
998;2004/05/01
1191;2004/06/01
1090;2004/07/01
1028;2004/08/01
1079;2004/09/01
1016;2004/10/01
858;2004/11/01
776;2004/12/01
784;2005/01/01
791;2005/02/01
936;2005/03/01
938;2005/04/01
1025;2005/05/01
1225;2005/06/01
1165;2005/07/01
1079;2005/08/01
1155;2005/09/01
1103;2005/10/01
930;2005/11/01
847;2005/12/01
824;2006/01/01
855;2006/02/01
995;2006/03/01
986;2006/04/01
1091;2006/05/01
1240;2006/06/01
1228;2006/07/01
1114;2006/08/01
1163;2006/09/01
1126;2006/10/01
958;2006/11/01
867;2006/12/01
885;2007/01/01
864;2007/02/01
1096;2007/03/01
971;2007/04/01
1129;2007/05/01
1273;2007/06/01
1322;2007/07/01
1193;2007/08/01
1211;2007/09/01
1178;2007/10/01
1004;2007/11/01
910;2007/12/01
918;2008/01/01
972;2008/02/01
1074;2008/03/01
1079;2008/04/01
1179;2008/05/01
1323;2008/06/01
1319;2008/07/01
1189;2008/08/01
1197;2008/09/01
1137;2008/10/01
892;2008/11/01
813;2008/12/01
788;2009/01/01
797;2009/02/01
930;2009/03/01
966;2009/04/01
1040;2009/05/01
1214;2009/06/01
1230;2009/07/01
1105;2009/08/01
1129;2009/09/01
1118;2009/10/01
917;2009/11/01
853;2009/12/01
849;2010/01/01
899;2010/02/01
1117;2010/03/01
779;2010/04/01
1178;2010/05/01
1353;2010/06/01
1407;2010/07/01
1253;2010/08/01
1278;2010/09/01
1275;2010/10/01
1025;2010/11/01
940;2010/12/01
923;2011/01/01
937;2011/02/01
1090;2011/03/01
1126;2011/04/01
1256;2011/05/01
1382;2011/06/01
1437;2011/07/01
1268;2011/08/01
1327;2011/09/01
1273;2011/10/01
1059;2011/11/01
981;2011/12/01
961;2012/01/01
984;2012/02/01
1167;2012/03/01
1125;2012/04/01
1212;2012/05/01
1391;2012/06/01
1446;2012/07/01
1252;2012/08/01
1320;2012/09/01
1285;2012/10/01
1067;2012/11/01
974;2012/12/01
937;2013/01/01
961;2013/02/01
1146;2013/03/01
1160;2013/04/01
1304;2013/05/01
1474;2013/06/01
1524;2013/07/01
1331;2013/08/01
1368;2013/09/01
1336;2013/10/01
1071;2013/11/01
1023;2013/12/01
974;2014/01/01
998;2014/02/01
1183;2014/03/01
1305;2014/04/01
1402;2014/05/01
1562;2014/06/01
1612;2014/07/01
1415;2014/08/01
1438;2014/09/01
1406;2014/10/01
1080;2014/11/01
1045;2014/12/01
979;2015/01/01
1001;2015/02/01
1242;2015/03/01
1227;2015/04/01
1387;2015/05/01
1580;2015/06/01
1675;2015/07/01
1491;2015/08/01
1522;2015/09/01
1486;2015/10/01
1202;2015/11/01
1161;2015/12/01
1092;2016/01/01
1155;2016/02/01
1343;2016/03/01
1345;2016/04/01
1526;2016/05/01
1716;2016/06/01
1813;2016/07/01
1572;2016/08/01
1633;2016/09/01
1599;2016/10/01
1266;2016/11/01
1242;2016/12/01
1165;2017/01/01
1168;2017/02/01
1350;2017/03/01
1415;2017/04/01
1544;2017/05/01
1738;2017/06/01
1822;2017/07/01
1593;2017/08/01
1643;2017/09/01
1589;2017/10/01
1240;2017/11/01
1209;2017/12/01
1146;2018/01/01
1176;2018/02/01
1449;2018/03/01
1445;2018/04/01
1645;2018/05/01
1829;2018/06/01
1924;2018/07/01
1669;2018/08/01
1713;2018/09/01
1647;2018/10/01
1291;2018/11/01
1251;2018/12/01
1163;2019/01/01
1191;2019/02/01
1402;2019/03/01
1500;2019/04/01
1608;2019/05/01
1816;2019/06/01
1895;2019/07/01
1695;2019/08/01
1724;2019/09/01
1651;2019/10/01
1276;2019/11/01
1276;2019/12/01
1161;2020/01/01
1188;2020/02/01
469;2020/03/01
16;2020/04/01
28;2020/05/01
105;2020/06/01
376;2020/07/01
379;2020/08/01
321;2020/09/01
256;2020/10/01
125;2020/11/01
176;2020/12/01
106;2021/01/01
73;2021/02/01
105;2021/03/01
117;2021/04/01
175;2021/05/01
365;2021/06/01
837;2021/07/01
756;2021/08/01
849;2021/09/01
992;2021/10/01
813;2021/11/01
715;2021/12/01
483;2022/01/01
641;2022/02/01
885;2022/03/01
1148;2022/04/01
1326;2022/05/01
1494;2022/06/01
1590;2022/07/01
1408;2022/08/01
1471;2022/09/01
1423;2022/10/01
1052;2022/11/01
1061;2022/12/01
